otu	Domain	Supergroup	Division	Class	Order	Family	Genus	Symportal type
37212_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	37212_C
37133_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	37133_C
2622452_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622452_C
47640_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	47640_C
2622449_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622449_C
279629_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	279629_C
C3gj	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3gj
2622460_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622460_C
2622418_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622418_C
C50ay	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50ay
2622420_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622420_C
2622404_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622404_C
72382_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	72382_C
2622402_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622402_C
C50at	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50at
2622473_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622473_C
2622525_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622525_C
2622398_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622398_C
2622383_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622383_C
C3ew	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3ew
2622401_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622401_C
267935_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	267935_C
2622384_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622384_C
2622407_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622407_C
120744_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	120744_C
C3jr	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C3jr
47078_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	47078_C
2622415_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622415_C
2622451_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622451_C
2622390_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622390_C
1060359_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1060359_C
2622466_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622466_C
2622413_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622413_C
40790_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	40790_C
2622443_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622443_C
2622362_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622362_C
48485_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	48485_C
2622424_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622424_C
2622417_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622417_C
2622429_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622429_C
2622481_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622481_C
2622495_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622495_C
21259_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	21259_C
2622372_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622372_C
2622441_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622441_C
2622508_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622508_C
43144_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	43144_C
2622410_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622410_C
2622509_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622509_C
37039_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	37039_C
27491_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	27491_C
120889_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	120889_C
1626235_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	1626235_C
C50w	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50w
C50t	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	C50t
2622408_C	Eukaryota	Sar	Alveolata	Dinophyceae	Suessiales	Symbiodinaceae	Cladocopium	2622408_C
